FEATURE	SYNTAX	STATUS	WINDOWS	LINUX	MAC	V1/V2 BEHAVIOR	NOTES
A_LineNumber		Working	YES			V1	"The exact line number in the script, including comment lines."
A_LineFile		Working	YES			V1	"The full path and name of the file to which A_LineNumber belongs, which will be the same as A_ScriptFullPath unless the line belongs to one of a non-compiled script's #Include files."
A_ThisFunc		Working	YES			V1	"The name of the function. If called outside of a function, empty string is returned."
A_ThisLabel		Working	YES			V1	"The name of the label. If called outside of a label, empty string is returned."
A_AhkVersion		Working	YES			V1	The version of the program used to compile the script.
A_AhkPath		Working	YES			V1	"The full path to the executable compiling the script. For compiled scripts, it's the path to the compiled executable."
A_IsUnicode		Working	YES			V1	Whether the program uses unicode strings. Always returns true because C# programs are always unicode.
A_IsCompiled		Working	YES			V1	"True if the program is running as a compiled executable, else false if it's running as a script passed to Keysharp.exe."
A_ExitReason		Working	YES			V1	"Always null until the main form is closing, in which case the value will be ""OnExit()""."
							
Date Time Built-in Variables							
A_YYYY		Working	YES			V1	The four digit year. Same as A_Year.
A_MM		Working	YES			V1	The two digit month from 1 - 12. Same as A_Month.
A_DD		Working	YES			V1	The two digit day of month from 1 - 31. Same as A_Mday.
A_MMMM		Working	YES			V1	The current month's full text name in the user's current culture language.
A_MMM		Working	YES			V1	The current month's abbreviated text name in the user's current culture language.
A_DDDD		Working	YES			V1	The current day of the week's full name in the user's current culture language.
A_DDD		Working	YES			V1	The current day of the week's abbreviated name in the user's current culture language.
A_WDay		Working	YES			V1	The current 1 digit day of the week.
A_YDay		Working	YES			V1	The current 1-366 day of the year.
A_YWeek		Working	YES			V1	The current year and week number expressed as a string containing a 4 digit year and 2 digit week.
A_Hour		Working	YES			V1	The current 2 digit hour 00 - 23.
A_Min		Working	YES			V1	The current 2 digit minute 00- 23.
A_Sec		Working	YES			V1	The current 2 digit second 00 - 23.
A_MSec		Working	YES			V1	Current 3 digit millisecond 000 - 999.
A_Now		Working	YES			V1	The current local time in YYYYMMDDHH24MISS format.
A_NowUTC		Working	YES			V1	The current Coordinated Universal Time (UTC) in YYYYMMDDHH24MISS format.
A_TickCount		Working	YES			DIFF	The number of milliseconds since the system started. Note this is not limited to 49.7 days like AHK because it uses a long integer.
							
Script Settings							
							
A_IsSuspended		Working	YES			V1	"Returns 1 if the script is suspended, else 0."
A_IsPaused							
A_IsCritical		Working	YES			V1	"Returns 1 if the script is in critical priority mode, else 0."
A_BatchLines							
A_ListLines							
A_TitleMatchMode		Working	YES			V1	"Sets or returns 1 for matching the start of a title, 2 for matching anywhere in a title, 3 for matching exactly a title, or ""regex"" for matching using a regular expression."
A_TitleMatchModeSpeed		Working	YES			V1	"Sets or returns ""fast"" for fast window title matching, or ""slow"" for slow window title matching."
A_DetectHiddenWindows		Working	YES			V1	Toggles whether window searching includes hidden windows.
A_DetectHiddenText		Working	YES			V1	Toggles whether window text searchign includes hidden text.
A_AutoTrim	NONE	NONE	NONE	NONE	NONE	NONE	This feature is not implemented.
A_StringCaseSense		Working	YES			V1	Sets or returns the string case sensitivity mode used in string comparisons and various functions.
A_FileEncoding		Working	YES			DIFF	"Sets or returns the encoding used for reading and writing files. This differs from AHK in that it only supports ASCII (ascii), UTF-8 (utf-8/utf8-raw) or Unicode (utf-16/utf16-raw or unicode). ASCII will always return us-ascii because that is the name of the encoding in C#."
A_FormatInteger		DEP	DEP	DEP	DEP	DEP	"This is deprecated, use Format() instead which uses a C# style like string.Format()."
A_FormatFloat		DEP	DEP	DEP	DEP	DEP	"This is deprecated, use Format() instead which uses a C# style like string.Format()."
A_SendMode							Unsure at the moment because send modes aren't quite clear.
A_SendLevel		Working	YES			V1	Controls which artificial keyboard and mouse events are ignored by hotkeys and hotstrings.
A_StoreCapsLockMode		Working	YES			V1	Toggles whether the state of CapsLock is restored after a Send.
A_KeyDelay		Working	YES			V1	Sets or returns the delay that will occur after each keystroke sent by Send and ControlSend.
A_KeyDuration		Working	YES			V1	Sets or returns the delay that will occur between the key down and key up events of each keystroke sent by Send and ControlSend.
A_KeyDelayPlay		Working	YES			V1	Sets or returns the delay that will occur after each keystroke sent by Send and ControlSend in SendPlay mode.
A_KeyDurationPlay		Working	YES			V1	Sets or returns the delay that will occur between the key down and key up events of each keystroke sent by Send and ControlSend in SendPlay mode.
A_WinDelay		Working	YES			V1	"Sets or returns the delay that will occur after each windowing command, such as WinActivate."
A_ControlDelay		Working	YES			V1	Sets or returns the delay in milliseconds that will occur after each control-modifying command.
A_MouseDelay		Working	YES			V1	Sets or returns the delay that will occur after each mouse movement or click.
A_MouseDelayPlay		Working	YES			V1	Sets or returns the delay that will occur after each mouse movement or click in SendPlay mode.
A_DefaultMouseSpeed		Working	YES			V1	Sets or returns the mouse speed that will be used if unspecified in Click and MouseMove/Click/Drag.
A_CoordModeToolTip		Working	YES			V2	"Gets the coordinate mode for tool tips to be relative to either the active window, the client area of the active window, or the screen."
A_CoordModePixel		Working	YES			V2	"Gets the coordinate mode for pixel operations to be relative to either the active window, the client area of the active window, or the screen."
A_CoordModeMouse		Working	YES			V2	"Gets the coordinate mode for mouse operations to be relative to either the active window, the client area of the active window, or the screen."
A_CoordModeCaret		Working	YES			V2	"Gets the coordinate mode for caret operations to be relative to either the active window, the client area of the active window, or the screen."
A_CoordModeMenu		Working	YES			V2	"Gets the coordinate mode for menus to be relative to either the active window, the client area of the active window, or the screen."
A_RegView		Working	YES			V1	Gets whether the registry is in 32 or 64 bit mode.
A_IconHidden		Working (needs Menu() test)	YES			V1	"Gets whether the system tray icon is hidden. 1 for hidden, 0 for visible."
A_IconTip		Working (needs icon test)	YES			V1	Sets or returns the tool tip text of the system tray icon.
A_IconFile		Working (needs icon test)	YES			V1	"Blank unless a custom tray icon has been specified via Menu, tray, icon, in which case it's the full path and name of the icon's file."
A_IconNumber		Working (needs icon test)	YES			V1	"If A_IconFile has been specified, gets the number of the icon of the icon file used for the system tray icon. Otherwise blank."
							
							
							
							
							
A_LoopRegValue		Working	YES			NEW	"A new property to get the value of a registry item when using Loop Reg, which is more succinct than typing Value := RegRead()."
							
							
A_LoopFileName		Working	YES			V2	The name of the file or folder currently retrieved (without the path).
A_LoopFileExt		Working	YES			V2	"The file's extension (e.g. TXT, DOC, or EXE). The period (.) is not included."
A_LoopFilePath		Working	YES			DIFF	"The path and name of the file/folder currently retrieved. If FilePattern contains a relative path rather than an absolute path, the path here will also be relative. Short file names are not used."
A_LoopFileFullPath		Working	YES			V2	This is different than A_LoopFilePath in the following ways: 1) It always contains the absolute/complete path of the file even if FilePattern contains a relative path; 2) Any short (8.3) folder names in FilePattern itself are converted to their long names; 3) Characters in FilePattern are converted to uppercase or lowercase to match the case stored in the file system. This is useful for converting file names -- such as those passed into a script as command line parameters -- to their exact path names as shown by Explorer.
A_LoopFileLongPath		Working	YES			V1	A synonym for A_LoopFileFullPath.
A_LoopFileShortPath		Working	YES			V2	The 8.3 short path and name of the file/folder currently retrieved.
A_LoopFileShortName		Working	YES			V2	"The 8.3 short name, or alternate name of the file. If the file doesn't have one, A_LoopFileName will be retrieved instead."
A_LoopFileDir		Working	YES			V2	"The path of the directory in which A_LoopFileName resides. If FilePattern contains a relative path rather than an absolute path, the path here will also be relative. A root directory will not contain a trailing backslash. For example: C:"
A_LoopFileTimeModified		Working	YES			V2	The time the file was last modified. Format YYYYMMDDHH24MISS.
A_LoopFileTimeCreated		Working	YES			V2	The time the file was created. Format YYYYMMDDHH24MISS.
A_LoopFileTimeAccessed		Working	YES			V2	The time the file was last accessed. Format YYYYMMDDHH24MISS.
A_LoopFileAttrib		Working	YES			V2	The attributes of the file currently retrieved as a string with one character for each attribute present.
A_LoopFileSize		Working	YES			V2	The size in bytes of the file currently retrieved. Files larger than 4 gigabytes are also supported.
A_LoopFileSizeKB		Working	YES			V2	"The size in Kbytes of the file currently retrieved, rounded down to the nearest integer."
A_LoopFileSizeMB		Working	YES			V2	"The size in Mbytes of the file currently retrieved, rounded down to the nearest integer."
							
							
							
String Functions							
							
Chr	x := Chr(123)	Working	YES			V2	Returns the string (usually a single character) corresponding to the character code indicated by the specified number.
Format	"x := Format(""{0}"", 123)"	Working	YES			DIFF	"Formats a string using the same syntax used by C# string.Format(), except it uses 1-based indexing. Traditional AHK formatting syntax is not supported."
FormatTime	"x := FormatTime(""20200704"", ""yyyyMMMdddd"")"	Working	YES			DIFF	"Formats a datetime string according to the parameters. All C# formatting options are supported. Supports all V2 functionality except for the Dn and Tn options. If you want to specify a specific format, do it in the format parameter."
InStr	"x := InStr(""searchstr"", ""h"")"	Working	YES			V2	"Searches for a string within another string, returning the 1-based index where it was found. Use negative numbers for searching in reverse order."
LTrim	"x := Ltrim("" abc "")"	Working	YES			V2	Trims characters from the end of a string.
Ord	"x := Ord(""t"") x:= Ord(""te"", 2)"	Working	YES			DIFF	"Returns the numeric two byte unicode value for the first character in a string. This differs from V2 in that it also takes an optional second parameter which specified the 1-based index in the string to return the numeric value for, rather than only doing it for the first character."
RegExMatch	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED
RegExReplace	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED
RTrim	"x := RTrim("" abc "")"	Working	YES			V2	Trims characters from the beginning of a string.
Sort	"x := Sort(""d,c,b,a"", ""D,"")"	Working	YES			DIFF	"Arranges a variable's contents in alphabetical, numerical, or random order (optionally removing duplicates). The back slash option also supports specifying a forward slash / so it can be used for paths on non-Windows systems."
StrCompare	"x := StrCompare(""a"", ""b"")"	Working	YES			V2	"Compares two strings alphabetically. Note this supports local, human readable comparison as well."
String	x := String(123)	Working	YES			V2	Converts a value to a string.
StrLower	"x := StrLower(""AB"")"	Working	YES			V2	Converts a string to lowercase.
StrUpper	"x := StrUpper(""AB"")"	Working	YES			V2	Converts a string to uppercase.
StrLen	"x := StrLen(""abc"")"	Working	YES			V2	Retrieves the count of how many characters are in a string.
StrGet	"x := StrGet([100, 1010, 102, 103])"	Working	YES			V2	"Copies a string from a memory address or buffer, optionally converting it from a given code page."
StrPut	"x := StrPut(""abc"")"	Working	YES			DIFF	"This differs from V2 in that it does not take a target parameter, and instead returns a buffer as a result. Length and encoding parameters are still supported."
StrReplace	"x := StrReplace(""a,b,c"", "","", ""."")"	Working	YES			DIFF	"This differs from V2 in that the OutputVarCount parameter must be in quotes, and if it's called from within a function, it must be a literal string and not a variable."
StrSplit	"x := StrSplit(""a,b,c,d"", "","")"	Working	YES			V2	Retrieves one or more characters from the specified position in a string.
SubStr	"x := SubStr(""abcde"", 3, 3)"	Working	YES			V2	Retrieves one or more characters from the specified position in a string.
Trim	"x := Trim("" abc "")"	Working	YES			V2	Trims characters from the beginning and end of a string.
VarSetStrCapacity	"x := VarSetStrCapacity(""var"", 10000)"	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	NOT IMPLEMENTED	Does nothing because the .NET runtime manages all memory.
							
							
Registry Functions							
							
RegDelete	"RegDelete(""key"", ""val"")"	Working	YES			V2	Deletes a value from the registry.
RegDeleteKey	"RegDeleteKey(""key"")"	Working	YES			V2	Deletes a key from the registry.
RegRead	"RegRead(""key, ""val"")"	Working	YES			DIFF	Reads a value from the registry. Supports REG_QWORD in addition to the other types.
RegWrite	"RegWrite(""val"", ""REG_SZ"", ""key"", ""valname"")"	Working	YES			DIFF	Writes a value to the registry. Supports REG_QWORD in addition to the other types.
SetRegView	SetRegView(32)	Working	YES			V2	"Sets the registry view used by registry functions, allowing them in a 64-bit script to access the 32-bit registry view."
